driverId,week,hours-logged,miles-logged
56,25,73,2200
94,1,56,2800
40,47,74,3700
49,12,52,400
80,36,51,2300
67,14,56,3900
73,38,52,1300
108,23,74,300
57,3,65,1400
14,29,56,2900
38,44,56,600
97,19,65,2400
106,35,71,600
48,43,61,1900
52,31,79,3200
86,26,55,3400
22,31,59,1700
24,25,50,3800
30,25,60,1600
50,9,58,2400
17,19,74,3900
33,15,70,3700
85,17,54,3000
75,41,55,2500
57,14,66,800
36,21,77,1800
24,49,53,1300
46,7,50,1400
38,36,65,4000
73,40,53,200
101,3,54,3600
68,52,62,1800
56,14,73,1000
76,49,73,2000
83,22,51,3300
10,47,53,3900
55,9,58,600
46,10,70,1100
75,6,72,3100
49,47,52,3100
80,32,60,4000
61,8,64,1900
56,42,78,200
44,14,54,200
21,1,52,1200
91,21,80,3300
21,28,60,800
38,42,80,400
14,13,50,100
64,30,73,3800
55,45,67,2700
67,41,67,1300
84,35,71,3600
56,23,68,1700
28,27,80,2800
82,13,55,3600
92,29,75,800
55,2,50,3900
27,10,63,4000
33,26,73,3700
76,37,74,2400
67,11,71,3000
69,37,79,2300
22,37,59,2100
22,32,69,900
51,10,77,600
86,49,55,1200
97,6,73,300
59,8,54,2000
98,43,55,1600
61,3,57,2900
100,23,65,400
23,15,59,3000
33,7,58,2700
14,9,54,2300
108,45,59,3400
82,39,72,2500
103,46,77,3700
23,16,69,3300
71,1,77,1500
66,11,71,3300
84,52,59,1800
50,13,72,3200
39,2,56,1400
47,23,74,3700
78,4,66,1400
17,38,55,900
64,34,70,1500
24,25,52,2400
97,19,76,1000
18,20,62,3600
12,10,77,800
57,13,68,2200
87,37,53,3400
40,3,66,200
78,8,77,1900
74,45,79,500
81,36,53,3000
87,20,63,3200
74,36,62,2000
87,21,68,3300
80,1,54,400
52,46,66,1800
83,19,58,2500
64,33,64,400
108,35,70,2200
29,14,50,3000
89,46,79,200
10,8,67,700
82,37,68,3500
27,38,70,900
27,36,68,1600
79,15,76,2400
81,3,71,3000
53,20,71,3500
42,9,69,1900
12,21,71,2900
74,12,51,700
24,14,53,3600
37,50,79,2700
104,5,54,1700
98,27,62,1500
64,24,67,2500
71,10,61,2300
45,1,80,2800
47,13,63,600
55,43,56,1700
53,34,60,3700
55,30,71,600
90,38,75,1600
54,42,52,1400
84,47,70,500
11,36,69,1800
35,28,73,3500
27,2,53,3800
71,7,65,2200
50,23,66,3700
64,32,76,3500
29,33,64,1600
104,49,66,900
107,22,56,1800
68,22,51,1500
26,29,51,1500
28,49,74,2200
92,11,67,700
87,17,57,2100
60,46,66,3800
56,16,74,1500
17,31,54,600
109,43,64,1300
48,16,68,3500
87,14,56,800
76,35,55,1500
52,12,59,600
56,2,56,100
40,40,78,3600
91,15,71,1200
60,37,54,3000
102,51,65,2600
39,25,61,2400
30,13,70,100
108,16,67,3100
85,1,69,3900
39,51,59,1600
39,20,78,2800
27,15,58,3100
87,26,72,2100
88,8,72,2000
103,1,51,600
108,52,62,900
18,51,55,3100
98,43,75,3200
53,23,57,3800
75,31,63,1200
71,48,67,1000
30,34,72,1400
56,28,58,600
13,12,63,800
61,48,51,100
106,41,65,1800
20,20,74,1100
93,47,70,2500
22,33,79,3700
24,33,65,2200
11,36,64,2000
10,37,55,2200
85,16,50,900
54,41,77,2600
28,39,72,900
34,4,69,1700
90,36,71,1600
104,49,63,3800
20,6,58,3700
102,32,65,1300
48,7,80,4000
20,15,78,3000
82,5,63,200
83,26,68,2400
52,49,61,1800
69,29,67,3600
52,10,63,1400
14,24,76,0
43,24,52,600
96,14,65,3600
12,33,62,900
56,21,66,300
86,7,78,1200
71,4,54,3200
39,40,66,1200
109,3,67,2700
21,50,72,3600
29,35,63,3700
70,30,61,2000
73,29,78,3400
66,23,51,2700
43,29,60,3300
34,26,56,600
23,39,71,3200
48,6,60,3200
45,50,65,1100
13,26,54,3700
55,19,72,3200
18,2,68,1900
61,45,72,1100
14,7,62,2000
26,51,63,600
103,3,78,2500
92,37,55,2700
94,6,78,2400
38,42,80,500
103,11,60,800
100,4,73,500
26,12,73,2000
91,6,56,3900
107,28,61,3900
13,27,77,0
50,52,69,0
55,31,58,2500
18,19,59,1100
39,46,56,2200
53,3,75,1700
66,2,52,800
101,36,80,2000
97,23,65,1400
37,30,68,2300
95,5,68,1800
28,4,71,600
104,20,65,2600
16,52,71,3900
96,22,55,2900
70,49,55,2500
20,45,65,2600
27,40,80,3200
48,52,60,0
99,12,75,2300
27,50,52,2600
80,26,60,400
24,2,54,1900
34,1,65,1300
36,52,73,2400
97,32,57,2800
44,3,70,1000
52,1,78,1700
12,23,80,3500
11,50,75,2900
109,16,56,3500
52,2,72,400
40,43,72,800
47,10,76,400
38,5,80,2200
38,2,74,3100
40,23,80,1800
80,34,54,800
21,46,68,2100
45,4,58,3300
46,11,58,3900
19,13,77,3000
71,39,69,1100
23,44,64,2600
104,3,67,3100
17,44,69,1500
23,3,66,3100
34,29,64,0
10,5,57,1200
58,39,76,600
87,45,79,300
98,18,55,3100
40,8,63,0
26,38,72,3400
58,18,75,3900
96,22,61,2000
56,47,69,2300
77,46,65,3400
47,13,51,1000
77,21,65,200
21,4,69,1800
108,26,70,3300
99,8,76,1600
60,1,74,1100
52,35,67,1900
29,29,51,1000
69,37,78,3500
34,34,70,1000
104,2,59,2900
65,42,56,1200
97,51,52,600
105,20,52,2100
45,9,72,2700
13,52,54,2800
52,10,69,3300
35,21,50,3400
41,48,80,0
103,42,67,500
109,27,58,900
92,18,71,4000
30,13,66,1900
64,42,73,200
81,38,69,200
34,39,69,1700
86,40,75,2600
45,3,64,800
90,10,72,2400
82,37,57,3100
92,1,58,2600
68,21,77,2900
55,4,57,400
30,11,72,1700
61,29,58,500
37,38,53,2900
63,14,74,3900
62,8,54,1200
47,51,76,1700
75,13,74,2000
16,21,68,3700
62,6,70,300
38,5,79,100
67,46,50,2600
16,37,61,3100
48,7,70,1000
49,35,63,1700
36,31,75,2000
25,3,65,1900
26,8,59,3900
48,33,50,3100
62,47,59,1600
46,32,65,2300
92,37,50,4000
68,50,56,1800
15,6,79,2200
48,8,61,3700
79,37,52,3500
10,50,80,0
80,31,66,4000
90,44,73,100
51,49,77,1600
17,37,69,1400
97,20,53,2300
11,2,53,400
65,24,66,2100
73,19,76,200
45,8,66,1900
49,16,57,400
61,36,71,1600
88,40,63,0
103,10,66,2200
73,52,53,1400
32,33,53,600
25,24,74,3500
92,29,61,2400
102,50,54,2500
27,16,52,2400
90,12,77,3000
17,39,62,3000
59,15,51,2500
53,11,67,3400
44,12,77,1100
46,3,79,2700
89,45,65,3400
20,7,51,900
104,45,53,2400
36,16,64,800
90,8,67,3900
98,7,55,800
90,21,72,1800
39,30,61,2700
41,21,78,2300
33,19,80,600
82,47,63,1000
59,20,53,200
15,21,55,900
42,28,70,400
18,23,53,2000
74,16,53,900
67,13,61,1500
38,33,77,1900
26,35,51,2100
79,11,57,1900
81,40,52,1300
75,5,71,400
32,42,75,400
68,3,57,300
47,14,67,3100
21,22,76,1400
106,25,51,1800
67,46,64,3300
38,23,59,1200
56,32,57,2800
106,15,54,1500
84,46,62,3600
60,41,64,2200
40,48,73,1000
68,1,51,0
54,43,57,1600
59,7,76,600
29,45,64,1000
86,22,61,3300
37,9,64,2200
30,32,52,3700
22,40,56,200
25,15,61,3400
46,16,74,0
97,37,55,2200
93,8,54,2100
58,45,59,1000
